ID;ENABLED;MISSION;RADIUS;SENSOR;METHOD;DEALY_START;DURATION;WP_TRIGGER;X;Y;Z;MIN;MAX;NOISE_D;NOISE_M
1;0;horizontal_new.txt;30;0;0;0;0;-1;0.00;0.0;0.00;0;0;0.00;0.00
2;0;horizontal_new.txt;10;0;0;0;0;-1;0.00;0.0;0.00;0;0;0.00;0.00
3;0;horizontal_new.txt;15;0;0;0;0;-1;0.00;0.0;0.00;0;0;0.00;0.00
4;0;horizontal_new.txt;20;0;0;0;0;-1;0.00;0.0;0.00;0;0;0.00;0.00
5;0;horizontal_new.txt;25;0;0;0;0;-1;0.00;0.0;0.00;0;0;0.00;0.00
6;0;horizontal_new.txt;30;0;0;0;0;-1;0.00;0.0;0.00;0;0;0.00;0.00
7;0;horizontal_new.txt;40;0;0;0;0;-1;0.00;0.0;0.00;0;0;0.00;0.00
8;0;horizontal_new.txt;50;0;0;0;0;-1;0.00;0.0;0.00;0;0;0.00;0.00
9;0;horizontal_new.txt;60;0;0;0;0;-1;0.00;0.0;0.00;0;0;0.00;0.00
9;0;horizontal_new.txt;100;0;0;0;0;-1;0.00;0.0;0.00;0;0;0.00;0.00
